original_title,director,cast,production_companies,genres,keywords,runtime,release_date,release_year,budget,budget_adj,revenue,revenue_adj,vote_count,vote_average,popularity,has_homepage
For Greater Glory - The True Story of Cristiada,Dean Wright,Eva Longoria|Andy GarcÃ­a|Oscar Isaac|Peter O'Toole|RubÃ©n Blades,Dos Corazones,Drama,duringcreditsstinger,145,2012-06-01,2012,12000000,11396931,9622846,9139242,20,6.8,0.628612,True
Good Vibrations,Lisa Barros D'Sa|Glenn Leyburn,Richard Dormer|Jodie Whittaker|Liam Cunningham|Dylan Moran,,Music|Drama,woman director,97,2012-05-31,2012,0,0,0,0,17,6.3,0.110132,False
American Mary,Jen Soska|Sylvia Soska,Katharine Isabelle|Julia Maxwell|Antonio Cupo|Tristan Risk|Paula Lindberg,Evolution Pictures|Twisted Twins Productions|430 Productions|IndustryWorks Pictures,Horror|Thriller,amputation|plastic surgery|gore|student|torture,98,2012-05-31,2012,0,0,0,0,100,5.9,0.25585399999999997,False
Snow White and the Huntsman,Rupert Sanders,Kristen Stewart|Charlize Theron|Chris Hemsworth|Sam Claflin|Ian McShane,Universal Pictures|Roth Films,Adventure|Fantasy|Drama,queen|magic|fairy tale|magic mirror|immortality,127,2012-05-30,2012,170000000,161456527,396600000,376668581,2152,5.7,3.335603,True
Prometheus,Ridley Scott,Noomi Rapace|Michael Fassbender|Charlize Theron|Idris Elba|Guy Pearce,Twentieth Century Fox Film Corporation|Dune Entertainment|Scott Free Productions|Brandywine Productions,Science Fiction|Adventure|Mystery,dystopia|alien|imax|self mutilation|aftercreditsstinger,124,2012-05-30,2012,130000000,123466756,403170142,382908536,3559,6.2,4.008188,True
Dawn Rider,Terry Miles,Donald Sutherland|Christian Slater|Jill Hennessy|Lochlyn Munro|Adrian Hough,,Action|Western,,94,2012-05-29,2012,0,0,0,0,12,5.2,0.204862,False
Abraham Lincoln vs. Zombies,Richard Schenkman,Bill Oberst Jr.|Baby Norman|Jason Vail|Jason Hughley|Don McGraw,"Asylum, The",Horror|Action|Thriller,u.s. president|president|thriller|zombies|horror movie,90,2012-05-29,2012,150000,142461,0,0,32,4.1,0.43046599999999996,True
Rags,Bille Woodruff,Keke Palmer|Avan Jogia|Drake Bell|Burkely Duffield|Niki Wipf,,TV Movie|Comedy|Drama,musical,0,2012-05-28,2012,0,0,0,0,24,5.7,0.140016,False
ThÃ©rÃ¨se Desqueyroux,Claude Miller,Audrey Tautou|Gilles Lellouche|AnaÃ¯s Demoustier|Stanley Weber|Yves Jacques,UGC Distribution,Drama|Foreign,,110,2012-05-27,2012,0,0,0,0,11,4.2,0.227384,False
Cowgirls n' Angels,Timothy Armstrong,Alicia Witt|Jackson Rathbone|James Cromwell|Andrew Sensenig|Kathleen Rose Perkins,,Drama|Family,rodeo|texas|horse|girl|cowgirl,92,2012-05-25,2012,0,0,120680,114615,12,5.3,0.22845,True
The Pact,Nicholas McCarthy,Caity Lotz|Casper Van Dien|Agnes Bruckner|Mark Steger|Haley Hudson,Preferred Content,Horror|Mystery|Thriller,haunting|childhood home|death of mother|mourning,89,2012-05-25,2012,0,0,0,0,96,5.3,0.220523,False
Take This Waltz,Sarah Polley,Michelle Williams|Seth Rogen|Luke Kirby|Sarah Silverman|Aaron Abrams,Joe's Daughter,Drama|Comedy,wife husband relationship|cookbook|f word|sex talk|barefoot,116,2012-05-25,2012,0,0,0,0,81,6.3,0.32216300000000003,True
Now Is Good,Ol Parker,Dakota Fanning|Jeremy Irvine|Kaya Scodelario|Olivia Williams|Paddy Considine,Goldcrest Pictures,Drama|Romance,cancer|teenager|teenage drama|bucket list|based on young adult book,103,2012-05-25,2012,0,0,0,0,246,7.4,0.800033,False
Cosmopolis,David Cronenberg,Robert Pattinson|Sarah Gadon|Juliette Binoche|Paul Giamatti|Samantha Morton,France 2 CinÃ©ma|TÃ©lÃ©film Canada|Rai Cinema|Prospero Pictures|Alfama Films,Drama,taxi|sex|bookshop|taxi driver|nudity,109,2012-05-25,2012,20500000,19469757,6063556,5758827,191,4.8,0.359578,True
Arjun: The Warrior Prince,Arnab Chaudhuri,Yuddvir Bakolia|Ila Arun|Aanjjan Srivastav|Sachin Khedekar|Vishnu Sharma,Walt Disney Pictures|UTV Motion Pictures,Adventure|Animation|Action|Foreign,mythology|animation|indian war|arjun,96,2012-05-24,2012,0,0,0,0,10,6.6,0.136706,False
The Central Park Five,Sarah Burns|Ken Burns,Antron McCray|Kevin Richardson|Yusef Salaam|Raymond Santana|Kharey Wise,Florentine Films|WETA,Documentary,prison|police|rapist|wrongful arrest|serial rapist,119,2012-05-24,2012,0,0,273747,259989,22,6.4,0.0017829999999999999,True
Chernobyl Diaries,Bradley Parker,Jesse McCartney|Jonathan Sadowski|Olivia Taylor Dudley|Ingrid BolsÃ¸ Berdal|Alex Feldman,Alcon Entertainment|FilmNation Entertainment|Oren Peli / Brian Witten Pictures,Horror|Thriller,radiation|ukraine|nuclear radiation|tourist|nuclear power plant,88,2012-05-24,2012,0,0,18112929,17202650,289,4.8,0.70817,True
Head Over Heels,Timothy Reckart,Nigel Anthony|Ruth Rayyah McCaul,National Film and Television School (NFTS),Family|Animation|Comedy|Romance,marriage,10,2012-05-24,2012,10400,9877,0,0,10,6.6,0.134777,True
Men in Black 3,Barry Sonnenfeld,Will Smith|Tommy Lee Jones|Josh Brolin|Michael Stuhlbarg|Emma Thompson,Amblin Entertainment|Media Magik Entertainment|Imagenation Abu Dhabi FZ|Hemisphere Media Capital|Parkes/MacDonald Productions,Action|Comedy|Science Fiction,time travel|time machine|alien|fictional government agency|seeing the future,106,2012-05-23,2012,225000000,213692463,624026776,592665861,3142,6.1,2.592896,True
On the Road,Walter Salles,Kristen Stewart|Garrett Hedlund|Sam Riley|Kirsten Dunst|Tom Sturridge,American Zoetrope|France 2 CinÃ©ma|VideoFilmes|Vanguard Films|Canal+,Adventure|Drama,male nudity|female nudity|based on novel|cemetery|funeral,137,2012-05-22,2012,25000000,23743607,8784318,8342855,205,5.6,0.552288,True
After Porn Ends,Bryce Wagoner,Mary Carey|Amber Lynn|John Leslie|Asia Carrera|Luke Ford,Oxymoron Entertainment|Mallick Media,Documentary,,90,2012-05-21,2012,400000,379897,0,0,32,5.1,0.11256300000000001,True
Free Samples,Jay Gammill,Jess Weixler|Jesse Eisenberg|Jason Ritter|Halley Feiffer|Keir O'Donnell,,Comedy,,80,2012-05-20,2012,0,0,0,0,12,6.3,0.252357,True
Stitches,Conor McMahon,Ross Noble|Tommy Knight|Gemma-Leah Devereux|John McDonnell,BÃ³rd ScannÃ¡n na hÃ‰ireann|Irish Film Board|Fantastic Films|MPI Media Group|Tailored Films,Horror,slapstick|teen angst|slaughter|black comedy|supernatural being,86,2012-05-19,2012,100000,94974,95000,90225,45,5.2,0.128685,False
Laurence Anyways,Xavier Dolan,Melvil Poupaud|Suzanne ClÃ©ment|Nathalie Baye|Monia Chokri|Yves Jacques,MK2 Productions,Drama|Romance,homosexuality|transgender|family|lgbt|drag,168,2012-05-18,2012,9500000,9022570,0,0,84,7.5,0.516461,False
Mansome,Morgan Spurlock,Jason Bateman|Judd Apatow|Will Arnett|Zach Galifianakis|Paul Rudd,,Documentary,,84,2012-05-18,2012,0,0,0,0,30,5.1,0.14271,True
Indie Game: The Movie,Lisanne Pajot|James Swirsky,Jonathan Blow|Phil Fish|Edmund McMillen|Tommy Refenes,BlinkWorks Media,Documentary,games|woman director|programmers|coding,96,2012-05-18,2012,0,0,0,0,153,7.3,0.224198,True
Lovely Molly,Eduardo SÃ¡nchez,Gretchen Lodge|Johnny Lewis|Alexandra Holden|Ken Arnold|Brenna McDonough,Haxan Films|amber entertainment,Horror|Thriller,drug addiction|psychosis|psychological drama,100,2012-05-18,2012,1000000,949744,0,0,38,4.6,0.38719000000000003,True
What to Expect When You're Expecting,Kirk Jones,Cameron Diaz|Jennifer Lopez|Elizabeth Banks|Anna Kendrick|Brooklyn Decker,Alcon Entertainment|Lionsgate|Phoenix Pictures|What to Expect Productions,Romance|Comedy|Drama,based on novel|adoption|pregnant|miscarriage|expectant father,110,2012-05-17,2012,40000000,37989771,79700000,75694619,389,5.7,1.306241,True
Girls Against Boys,Austin Chick,Danielle Panabaker|Nicole LaLiberte|Liam Aiken|Matthew Rauch|Michael Stahl-David,Floren Shieh Productions,Drama|Thriller,,87,2012-05-17,2012,0,0,0,0,12,4.2,0.077988,True
Stolen,Simon West,Nicolas Cage|Malin Ã…kerman|Josh Lucas|Sami Gayle|Danny Huston,Saturn Films|Nu Image Films|Millennium Films,Action|Crime|Drama|Thriller,taxi driver|thief|fbi agent,96,2012-05-17,2012,35000000,33241049,2106557,2000690,233,5.1,1.157127,False
Devil Seed,Greg A. Sager,Vanessa Broze|Michelle Argyris|Shantelle Canzanese|Michael G. Wilmot,Player Entertainment Group|Matchbox Pictures Inc.,Horror,fortune teller|demonic possession,93,2012-05-16,2012,0,0,0,0,15,5.0,0.253871,True
Moonrise Kingdom,Wes Anderson,Bruce Willis|Edward Norton|Jared Gilman|Kara Hayward|Bill Murray,Scott Rudin Productions|Indian Paintbrush|American Empirical Pictures|Moonrise,Comedy|Drama|Romance,erection|new england|first love|eye patch|search party,94,2012-05-16,2012,16000000,15195908,68263166,64832551,976,7.6,1.661091,True
Elefante blanco,Pablo Trapero,Ricardo DarÃ­n|Martina Gusman|JÃ©rÃ©mie Renier|Federico BenjamÃ­n Barga|Mauricio Minetti,ARTE|Canal+ EspaÃ±a,Drama,,105,2012-05-16,2012,0,0,0,0,17,5.4,0.010407,False
One Direction: Up All Night - The Live Tour,Andy Saunders,Louis Tomlinson|Niall Horan|Abbes Zahmani|Liam Payne|Harry Styles,,Music|Documentary,,73,2012-05-16,2012,0,0,0,0,10,8.3,0.162227,True
The Dictator,Larry Charles,Sacha Baron Cohen|Sayed Badreya|Aasif Mandvi|Megan Fox|Anna Faris,Paramount Pictures,Comedy,kurdish,83,2012-05-15,2012,65000000,61733378,179379533,170364685,1159,5.9,1.291798,True
American Warships,Thunder Levin,Mario Van Peebles|Carl Weathers|Johanna Watts|Nikki McCauley|Devin McGee,The Asylum,Action|Thriller|Science Fiction,battleship,90,2012-05-15,2012,0,0,0,0,22,2.4,0.17315899999999898,False
Steve Jobs: The Lost Interview,Paul Sen,Steve Jobs|Robert X. Cringely,,Documentary,,70,2012-05-11,2012,0,0,0,0,27,7.4,0.06252200000000001,False
Piranha 3DD,John Gulager,Danielle Panabaker|Matt Bush|Katrina Bowden|Jean-Luc Bilodeau|David Koechner,Dimension Films|Mark Canton Productions|Intellectual Properties Worldwide,Horror|Thriller|Comedy,sequel|breast|water park|piranha|duringcreditsstinger,83,2012-05-11,2012,5000000,4748721,8493728,8066869,176,4.2,0.8924719999999989,True
Girl in Progress,Patricia Riggen,Eva Mendes|Matthew Modine|Landon Liboiron|Patricia Arquette|Raini Rodriguez,Pantelion Films,Comedy|Drama,latina|coming of age|mother daughter relationship|teenage girl|single mother,93,2012-05-11,2012,5000000,4748721,0,0,29,5.3,0.494655,True
The Philly Kid,Jason Connery,Devon Sawa|Wes Chatham|Sarah Butler|Neal McDonough|Lucky Johnson,Signature Pictures|After Dark Films|Autonomous Films|Fourth Floor Productions,Drama|Action,fight|sport|mixed martial arts|kickboxing,94,2012-05-11,2012,5000000,4748721,0,0,11,4.9,0.188856,False
Stash House,Eduardo RodrÃ­guez,Dolph Lundgren|Briana Evigan|Sean Faris|Jon Huertas|Alyshia Ochse,After Dark Films,Action|Thriller,,95,2012-05-11,2012,2000000,1899488,0,0,12,5.1,0.22158200000000003,False
El Gringo,Eduardo RodrÃ­guez,Scott Adkins|Yvette Yates|Christian Slater|Israel Islas|Erando GonzÃ¡lez,Silver Pictures|Signature Pictures|After Dark Films|Autonomous Films|Bomar OOD,Adventure|Drama|Action|Thriller,small town|outlaw|gunfight|violence|cowboys,98,2012-05-10,2012,3000000,2849232,0,0,27,4.8,0.38161,False
Dragon Eyes,John Hyams,Jean-Claude Van Damme|Peter Weller|Cung Le|Luis Da Silva Jr.|Crystal Mantecon,Dark Castle Entertainment|Silver Pictures|Signature Pictures|After Dark Films|Autonomous Films,Drama|Action|Thriller|Crime,street gang|fight|rival gang,88,2012-05-10,2012,3000000,2849232,0,0,18,4.1,0.361254,False
Jackie,Antoinette Beumer,Carice van Houten|Jelka van Houten|Holly Hunter|Valerie Adams|Luis Bordonada,Eyeworks Film & TV Drama|Inspire Pictures|Indieproduction,Comedy|Drama,woman director,100,2012-05-10,2012,0,0,278000,264028,13,6.2,0.077044,False
Dark Shadows,Tim Burton,Johnny Depp|Michelle Pfeiffer|Helena Bonham Carter|Jackie Earle Haley|Jonny Lee Miller,Village Roadshow Pictures|Infinitum Nihil|GK Films|Warner Bros.|Tim Burton Productions,Comedy|Fantasy,witch|imprisonment|vampire|curse|fish out of water,113,2012-05-08,2012,150000000,142461642,245527149,233188005,1434,5.6,2.092701,True
Reality,Matteo Garrone,Aniello Arena|Loredana Simioli|Nando Paone|Graziella Marina|Aniello Iorio,Fandango|Rai Cinema|Le Pacte|Archimede,Drama|Comedy,,110,2012-05-04,2012,0,0,0,0,21,5.7,0.128085,False
Jesus Henry Christ,Dennis Lee,Michael Sheen|Toni Collette|Jason Spevack|Samantha Weinstein|Melyssa Ade,Red Om Films|Reliance BIG Entertainment|Hopscotch Pictures,Comedy|Family,feminist|note|missing father,92,2012-05-04,2012,0,0,0,0,18,6.2,0.22647399999999998,True
Ghost Recon: Alpha,FranÃ§ois Alaux|HervÃ© de CrÃ©cy,Radek Bruna|Mark Ivanir|Keith Gilmore|Pavel Ledinsky|Charlotte Rampling,Ubisoft,Action|Science Fiction|Thriller|War,,24,2012-05-03,2012,0,0,0,0,36,7.4,0.592542,False
Meeting Evil,Chris Fisher,Leslie Bibb|Samuel L. Jackson|Luke Wilson|Peyton List,Sony Pictures,Crime|Drama|Mystery|Thriller,,89,2012-05-03,2012,0,0,525,498,29,4.4,0.15305,False
Burning Bright,Carlos Brooks,Briana Evigan|Garret Dillahunt|Meat Loaf|Charlie Tahan|Peggy Sheffield,Lionsgate|Launchpad Productions|Sobini Films|Burning Bright Productions,Drama|Horror|Thriller,autism|hurricane|tiger|suspense|trapped,89,2012-05-02,2012,0,0,0,0,23,5.3,0.45632700000000004,False
The Sessions,Ben Lewin,John Hawkes|Helen Hunt|William H. Macy|Moon Bloodgood|Annika Marks,Rhino Films|Such Much Films,Drama|Romance|Comedy,cat|virgin|wheelchair|graduation|sexual arousal,98,2012-05-02,2012,1000000,949744,9138338,8679084,102,6.3,0.591005,False
Crawlspace,Justin Dix,Amber Clayton|Eddie Baroo|Justin Batchelor|Nicholas Bell|John Brumpton,,Horror|Science Fiction|Mystery|Thriller,underground|experiment|australia|special forces,89,2012-05-01,2012,0,0,0,0,20,4.0,0.0819999999999999,True
Bernie,Richard Linklater,Jack Black|Shirley MacLaine|Matthew McConaughey|Brady Coleman|Tommy G. Kendrick,Castle Rock Entertainment|Horsethief Pictures|Mandalay Vision|Wind Dancer Productions|Detour Filmproduction,Comedy|Crime|Drama,prison visit|funeral director|funeral home|amateur theater|embezzlement,100,2012-04-27,2012,0,0,0,0,186,6.3,0.5293800000000001,False
Tape 407,Dale Fabrigar|Everette Wallin,Abigail Schrader|Samantha Lester|James Lyons|Melanie Lyons|Samantha Sloyan,,Horror|Thriller|Science Fiction,found footage,90,2012-04-27,2012,0,0,0,0,17,3.0,0.257867,True
The Giant Mechanical Man,Lee Kirk,Jenna Fischer|Chris Messina|Topher Grace|Malin Ã…kerman|Lucy Punch,,Comedy|Drama|Romance,aftercreditsstinger,94,2012-04-27,2012,0,0,0,0,31,5.8,0.166891,False
Detention of the Dead,Alex Craig Mann,Jacob Zachar|Alexa Nikolas|Christa Brittany  Allen|Jayson Blair|Justin Chon,Gala Film,Comedy|Horror,high school|independent film|bloody violence|zombies,87,2012-04-27,2012,500000,474872,0,0,12,4.0,0.181137,True
The Five-Year Engagement,Nicholas Stoller,Emily Blunt|Alison Brie|Jason Segel|Rhys Ifans|Chris Pratt,Universal Pictures|Dentsu|Relativity Media|Apatow Productions|Stoller Global Solutions,Comedy,sex|san francisco|restaurant|frustration|chase,124,2012-04-27,2012,30000000,28492328,53909751,51200477,319,5.6,1.095479,True
The Pelayos,Eduard CortÃ©s,Daniel BrÃ¼hl|LluÃ­s Homar|Blanca SuÃ¡rez|Sonia Casademont|Hui Chi Chiu,"TelevisiÃ³n EspaÃ±ola TVE|Afrodita Audiovisual, A.I.E.|Alea Docs & Films|Bausan Films|ICIC",Drama,,90,2012-04-26,2012,0,0,0,0,13,4.6,0.24133400000000002,False
McCullin,Jacqui Morris|David Morris,,,Documentary,biography|woman director,89,2012-04-26,2012,0,0,0,0,11,7.2,0.083362,False
Wish You Were Here,Kieran Darcy-Smith,Joel Edgerton|Teresa Palmer|Felicity Price|Antony Starr|Nicholas Cassim,Entertainment One|Hopscotch Films,Drama|Comedy|Thriller|Mystery|Romance,holiday|cambodia|tourist|market|pregnant wife,93,2012-04-26,2012,0,0,0,0,16,5.2,0.12369000000000001,False
Modus Anomali,Joko Anwar,Rio Dewanto|Hannah Al Rashid|Aridh Tritama|Izzi Isman|Sadha Triyudha,Lifelike Picture,Horror|Thriller,,87,2012-04-26,2012,200000,189948,0,0,14,5.3,0.26859,True
The Avengers,Joss Whedon,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,Marvel Studios,Science Fiction|Action|Adventure,new york|shield|marvel comic|comic|superhero,143,2012-04-25,2012,220000000,208943741,1519557910,1443191435,8903,7.3,7.637767,True
Birdsong,Philip Martin,Eddie Redmayne|ClÃ©mence PoÃ©sy|Matthew Goode|Rory Keenan|Thomas Turgoose,NBC Universal Television|Working Title Television Production,Drama|History|Romance|TV Movie,based on novel|world war i|war|love affair|united kingdom,165,2012-04-24,2012,0,0,0,0,18,6.1,0.174184999999999,False
Lola Versus,Daryl Wein,Greta Gerwig|Joel Kinnaman|Bill Pullman|Zoe Lister-Jones|Debra Winger,Fox Searchlight Pictures|Groundswell Productions,Comedy,best friend,87,2012-04-24,2012,0,0,252603,239908,40,4.9,0.320264,True
Nazis at the Center of the Earth,Joseph J. Lawson,Dominique Swain|Jake Busey|Trevor Kuhn|Lilan Bowden|Marlene Okner,The Asylum,Adventure|Horror|Action|Thriller|Science Fiction,female nudity|cyborg|nazis|zombies|face ripped off,90,2012-04-23,2012,0,0,0,0,18,3.1,0.339738,False
Eddie: The Sleepwalking Cannibal,Boris Rodriguez,Thure Lindhardt|Dylan Smith|Georgina Reilly|Alain Goulem|Stephen McHattie,Det Danske Filminstitut|TÃ©lÃ©film Canada|Fridthjof Film|Make A Move,Horror|Comedy,,79,2012-04-22,2012,0,0,1632,1549,16,6.1,0.029385,False
Freaky Deaky,Charles Matthau,Christian Slater|Michael Jai White|Crispin Glover|Billy Burke|Breanne Racano,Final Cut Productions|The Matthau Company,Comedy,bomb squad|ex-fugitive|freaky,90,2012-04-22,2012,0,0,0,0,10,4.8,0.252098,False
Whole Lotta Sole,Terry George,Colm Meaney|Brendan Fraser|Martin McCann|Yaya Alafia|David O'Hara,Generator Entertainment,Comedy|Drama,,94,2012-04-21,2012,0,0,0,0,11,5.9,0.166049,False
Chimpanzee,Alastair Fothergill|Mark Linfield,Tim Allen,Disneynature,Documentary,wilderness|wildlife|animal in title|one word title|wild animal,78,2012-04-20,2012,0,0,0,0,36,6.4,0.216962,False
Marley,Kevin Macdonald,Bob Marley|Ziggy Marley|Rita Marley|Cedella Marley|Jimmy Cliff,Shangri-La Entertainment,Documentary,musical|bob marley|reference to bob marley|reggae music|duringcreditsstinger,144,2012-04-20,2012,0,0,0,0,88,7.4,0.356988,True
Struck by Lightning,Brian Dannelly,Dermot Mulroney|Sarah Hyland|Chris Colfer|Allison Janney|Christina Hendricks,Permut Presentations|Camellia Entertainment|Evil Media Empire|Inphenate,Comedy|Drama,lightning|blackmail|grandmother grandson relationship|high school|electrocution,90,2012-04-20,2012,0,0,22930,21777,58,6.0,0.267406,False
Darling Companion,Lawrence Kasdan,Diane Keaton|Kevin Kline|Sam Shepard|Dianne Wiest|Richard Jenkins,Kasdan Pictures|Werc Werk Works,Drama|Romance,aftercreditsstinger,103,2012-04-20,2012,0,0,0,0,12,5.2,0.153301,False
To Rome with Love,Woody Allen,Ellen Page|Woody Allen|Jesse Eisenberg|PenÃ©lope Cruz|Alec Baldwin,Gravier Productions|Medusa Film|Mediapro|Perdido Productions,Romance|Comedy,rome|expatriate|episodic,111,2012-04-20,2012,17000000,16145652,73244881,69563906,298,5.5,0.714232,False
Resolution,Justin Benson|Aaron Moorhead,Peter Cilella|Vinny Curran|Zahn McClarnon|Bill Oberst Jr.|Emily Montague,,Horror|Thriller|Mystery,fire|cabin|friendship|drug|handcuffed,93,2012-04-20,2012,0,0,0,0,35,5.9,0.121572,True
The Lucky One,Scott Hicks,Zac Efron|Blythe Danner|Taylor Schilling|Jay R. Ferguson|Riley Thomas Stewart,Village Roadshow Pictures|DiNovi Pictures|Warner Bros.|Langley Park Production,Drama|Romance,based on novel|wife husband relationship|photo|kennel|playing chess,101,2012-04-19,2012,25000000,23743607,99357138,94363873,569,6.8,1.272721,True
Kauwboy,Boudewijn Koole,Rick Lens|Loek Peters|Susan Radder|Ricky Koole|Cahit Ã–lmez,Waterland Film & TV,Family,,81,2012-04-18,2012,0,0,0,0,10,6.0,0.171625,True
Safe,Boaz Yakin,Jason Statham|Chris Sarandon|James Hong|Catherine Chan|Robert John Burke,Lawrence Bender Productions|IM Global|Automatik Entertainment|Trigger Street Productions|87Eleven,Action|Crime|Thriller,broken trachea,94,2012-04-16,2012,30000000,28492328,40346186,38318559,556,6.2,1.76105,True
7 Below,Kevin Carraway,Val Kilmer|Ving Rhames|Luke Goss|Bonnie Somerville|Matt Barr,Efish Entertainment|Vitamin A Films|Silver Moonlight Productions|PalmStar Entertainment|Barking Fish Entertainment,Horror,two word title,90,2012-04-16,2012,6000000,5698465,0,0,12,4.5,0.42503900000000006,False
Think Like a Man,Tim Story,Michael Ealy|Jerry Ferrara|Meagan Good|Regina Hall|Kevin Hart,Rainforest Films|Screen Gems|Studio Mir,Comedy|Romance,advice|love|relationship|ensemble cast|duringcreditsstinger,123,2012-04-16,2012,12000000,11396931,96070507,91242414,201,6.6,0.47338100000000005,False
Undercover Bridesmaid,Matthew Diamond,Brooke Burns|Nicole Paggi|Justin Baldoni|Gregory Harrison|Jamison Jones,Larry Levinson Productions,Romance,,92,2012-04-15,2012,0,0,0,0,11,6.1,0.040014,False
Blue Like Jazz,Steve Taylor,Marshall Allman|Claire Holt|Tania Raymonde|Justin Welborn|Eric Lange,Ruckus Films,Drama|Comedy,book store,106,2012-04-13,2012,1250000,1187180,0,0,15,6.5,0.24281599999999998,True
The Three Stooges,Bobby Farrelly|Peter Farrelly,Sean Hayes|Will Sasso|Chris Diamantopoulos|SofÃ­a Vergara|Jane Lynch,Wessler Entertainment,Comedy,duringcreditsstinger,92,2012-04-13,2012,30000000,28492328,54819301,52064317,82,4.9,0.784114,True
Bad Ass,Craig Moss,Danny Trejo|Charles S. Dutton|Ron Perlman|Joyful Drake|Patrick Fabian,Amber Lamps,Action|Drama,vietnam veteran|los angeles|crime|based on true events,90,2012-04-12,2012,0,0,0,0,87,5.4,0.385121,True
Lockout,Stephen St. Leger|James Mather,Guy Pearce|Maggie Grace|Joseph Gilgun|Lennie James|Peter Stormare,Canal+|EuropaCorp|CinÃ©+,Action|Thriller|Science Fiction,u.s. president|anti hero|dementia|future|space,95,2012-04-12,2012,20000000,18994885,32204030,30585593,488,5.8,1.068764,True
Simon Killer,Antonio Campos,Brady Corbet|Mati Diop|MichaÃ«l Abiteboul|Constance Rousseau|Lila Salet,FilmHaven Entertainment|BorderLine Films,Drama,,105,2012-04-12,2012,0,0,0,0,13,5.8,0.13955499999999899,False
The Cabin in the Woods,Drew Goddard,Kristen Connolly|Chris Hemsworth|Anna Hutchison|Fran Kranz|Jesse Williams,Lionsgate|Mutant Enemy Productions,Horror|Thriller,cabin|plot twist|cabin in the woods|filmed killing|video wall,95,2012-04-12,2012,30000000,28492328,66486080,63144774,1403,6.5,1.832955,True
Battleship,Peter Berg,Taylor Kitsch|Alexander SkarsgÃ¥rd|Rihanna|Brooklyn Decker|Tadanobu Asano,Universal Pictures|Hasbro|Bluegrass Films|Film 44,Thriller|Action|Adventure|Science Fiction,fight|mind reading|hong kong|soccer|scientist,131,2012-04-11,2012,209000000,198496554,303025485,287796721,1523,5.5,1.630455,False
Jim Gaffigan: Mr. Universe,Jay Karas,Jim Gaffigan,New Wave Entertainment|Chimichanga Productions|Brillstein Entertainment Partners,Comedy|TV Movie,comedian|stand-up|stand up comedy|clean comedy,78,2012-04-11,2012,0,0,0,0,11,7.2,0.114021,True
Damsels in Distress,Whit Stillman,Greta Gerwig|Carrie MacLemore|Megalyn Echikunwoke|Analeigh Tipton|Ryan Metcalf,Westerly Films,Comedy|Romance,,99,2012-04-06,2012,0,0,0,0,34,5.6,0.319294,True
The Devil's Carnival,Darren Lynn Bousman,Sean Patrick Flanery|Briana Evigan|Bill Moseley|Jessica Lowndes|Dayton Callie,,Horror,clown|musical|lucifer|fable|dark carnival,55,2012-04-05,2012,500000,474872,0,0,15,5.4,0.159118,True
American Reunion,Jon Hurwitz|Hayden Schlossberg,Jason Biggs|Alyson Hannigan|Seann William Scott|Chris Klein|Thomas Ian Nicholas,Universal Pictures,Comedy,wife husband relationship|lesbian kiss|sequel|family reunion|masturbation,113,2012-04-04,2012,50000000,47487214,234989584,223180013,1180,6.0,1.9795310000000002,True
The Cold Light of Day,Mabrouk El Mechri,Henry Cavill|VerÃ³nica Echegui|Sigourney Weaver|Bruce Willis|Caroline Goodall,Summit Entertainment|Intrepid Pictures|Film Rites|Galavis Film|Picture Machine,Action|Thriller,spying|government|kidnapping,93,2012-04-04,2012,20000000,18994885,16863583,16016091,193,4.8,0.828573,False
Grupo 7,Alberto RodrÃ­guez,Antonio de la Torre|Mario Casas|JuliÃ¡n VillagrÃ¡n|JosÃ© Manuel Poga|Inma Cuesta,TVE|La ZanfoÃ±ia Producciones|Canal Sur TelevisiÃ³n|AtÃ­pica Films,Drama|Action,bad cop,95,2012-04-03,2012,3500000,3324104,0,0,25,5.5,0.329419,False
Fortress,Mike Phillips,Bug Hall|Donnie Jeffcoat|Sean McGowan|Chris Owen|Edward Finlay,Bayou Pictures|Diamondback 99,Action|War,world war ii|bomber|pilot|flight,89,2012-04-01,2012,5000000,4748721,0,0,10,5.5,0.546014,False
StreetDance 2,Max Giwa|Dania Pasquini,Tom Conti|Falk Hentschel|George Sampson|Sofia Boutella,Vertigo Entertainment,Drama|Romance,musical|woman director,85,2012-03-30,2012,0,0,0,0,62,5.3,0.569388,False
Found,Scott Schirmer,Gavin Brown|Ethan Philbeck|Phyllis Munro|Louie Lawless|Alex Kogin,The October People|Forbidden Films,Thriller|Horror|Drama,serial killer|series of murders|violence|gas mask|masculinity,105,2012-03-30,2012,8000,7597,0,0,16,6.6,0.159747,True
The Courier,Hany Abu-Assad,Jeffrey Dean Morgan|Josie Ho|Til Schweiger|Miguel Ferrer|Lili Taylor,Films In Motion,Action|Crime,amnesia|new orleans|arrest|revenge|shootout,91,2012-03-29,2012,0,0,0,0,19,4.9,0.12794,False
Sinister,Scott Derrickson,Ethan Hawke|Vincent D'Onofrio|James Ransone|Fred Dalton Thompson|Clare Foley,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Possessed Pictures,Horror|Thriller|Mystery,drowning|pennsylvania|child murderer|car set on fire|murder,110,2012-03-29,2012,3000000,2849232,77712439,73806944,914,6.7,1.3743,False
